S.N.,Contract No,Stock Symbol,Buyer Broker,Seller Broker,Quantity,Rate,Amount
1,2020100403012017,NRIC,42,56,40,895,35800.00
2,2020100403012814,GUFL,38,5,85,144,12240.00
3,2020100403012011,NRIC,42,42,40,895,35800.00
4,2020100403012800,GLICL,38,33,488,635,309880.00
5,2020100403011977,NRIC,42,35,50,895,44750.00
6,2020100401028129,AIL,42,26,10,520,5200.00
7,2020100401027400,PRIN,34,49,50,615,30750.00
8,2020100401028135,AIL,34,45,10,520,5200.00
9,2020100401029756,NICL,35,42,59,571,33689.00
10,2020100403012797,GLICL,38,33,200,635,127000.00
11,2020100401028150,AIL,57,45,20,518,10360.00
12,2020100403011937,NRIC,42,32,400,891,356400.00
13,2020100403012016,NRIC,42,39,40,895,35800.00
14,2020100403012382,NLBBL,57,28,14,761,10654.00
15,2020100401029897,NICL,57,14,102,570,58140.00
16,2020100401027398,BOKL,38,28,300,280,84000.00
17,2020100401029708,AKPL,19,44,95,235,22325.00
18,2020100403011987,NRIC,42,33,40,895,35800.00
19,2020100403012015,NRIC,42,1,40,895,35800.00
20,2020100401029805,SJCL,18,40,20,171,3420.00
