#,"Country,other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",TotalCases/1M pop,Deaths/1M pop,TotalTests,Tests/1M pop,Population
1,USA,"7,679,644",,"215,032 ",,"4,895,078",,"2,569,534","14,283","23,165",649,"112,503,131","339,360","331,515,730 "
2,India,"6,685,082","+3,009","103,600 ",,"5,662,490","+3,380","918,992","8,944","4,832",75,"81,071,797","58,596","1,383,567,415 "
3,Brazil,"4,940,499",,"146,773 ",,"4,295,302",,"498,424","8,318","23,199",689,"17,900,000","84,054","212,958,012 "
4,Russia,"1,225,889",,"21,475 ",,"982,324",,"222,090","2,300","8,399",147,"48,042,343","329,167","145,951,147 "
5,Colombia,"862,158",,"26,844 ",,"766,300",,"69,014","2,220","16,897",526,"3,930,262","77,026","51,025,119 "
6,Spain,"852,838",,"32,225 ",,N/A,N/A,N/A,"1,580","18,239",689,"13,689,776","292,769","46,759,607 "
7,Peru,"829,999",,"32,834 ",,"712,888",,"84,277","1,269","25,082",992,"3,961,345","119,708","33,091,634 "
8,Argentina,"809,728",,"21,468 ",,"649,017",,"139,243","3,978","17,873",474,"2,084,513","46,011","45,304,806 "
9,Mexico,"761,665",,"79,088 ",,"550,053",,"132,524","2,401","5,891",612,"2,003,141","15,494","129,288,090 "
10,South Africa,"682,215",,"17,016 ",,"615,684",,"49,515",539,"11,465",286,"4,280,340","71,933","59,504,141 "
11,France,"624,274",,"32,299 ",,"98,680",,"493,295","1,415","9,558",495,"11,616,000","177,854","65,311,915 "
12,UK,"515,571",,"42,369 ",,N/A,N/A,N/A,368,"7,584",623,"25,865,851","380,490","67,980,370 "
13,Iran,"475,674",,"27,192 ",,"392,293",,"56,189","4,167","5,644",323,"4,151,445","49,261","84,273,859 "
14,Chile,"471,746",,"13,037 ",,"443,453",,"15,256",853,"24,622",680,"3,502,751","182,822","19,159,383 "
15,Iraq,"382,949",,"9,464 ",,"312,158",,"61,327",556,"9,466",234,"2,371,348","58,618","40,454,349 "
16,Bangladesh,"370,132",,"5,375 ",,"283,182",,"81,575",,"2,242",33,"2,001,431","12,121","165,120,172 "
17,Saudi Arabia,"336,766",,"4,898 ",,"322,055",,"9,813",938,"9,634",140,"6,725,148","192,395","34,954,860 "
18,Italy,"327,586",,"36,002 ",,"232,681",,"58,903",323,"5,420",596,"11,844,346","195,975","60,438,050 "
19,Turkey,"326,046",,"8,498 ",,"286,370",,"31,178","1,412","3,855",100,"10,931,917","129,254","84,577,023 "
20,Philippines,"324,762",,"5,840 ",,"273,123",,"45,799","1,758","2,953",53,"3,914,732","35,601","109,961,842 "
21,Pakistan,"315,727",+467,"6,523 ",+6,"300,616",+780,"8,588",516,"1,422",29,"3,702,607","16,678","222,000,149 "
22,Indonesia,"307,120",,"11,253 ",,"232,593",,"63,274",,"1,120",41,"3,515,165","12,816","274,282,230 "
23,Germany,"304,657",,"9,616 ",,"263,700",,"31,341",447,"3,633",115,"16,999,253","202,722","83,855,064 "
24,Israel,"273,826","+1,517","1,757 ",,"208,763","+4,408","63,306",875,"29,771",191,"3,733,880","405,963","9,197,590 "
25,Ukraine,"234,584","+4,348","4,520 ",+90,"103,401","+2,149","126,663",177,"5,373",104,"2,397,905","54,918","43,663,012 "
26,Canada,"168,960",,"9,504 ",,"142,334",,"17,122",126,"4,466",251,"7,695,259","203,421","37,829,211 "
27,Ecuador,"141,339",,"11,681 ",,"120,511",,"9,147",356,"7,979",659,"455,122","25,695","17,712,769 "
28,Netherlands,"140,471",,"6,461 ",,N/A,N/A,N/A,177,"8,193",377,"2,603,166","151,833","17,144,953 "
29,Romania,"137,491",,"5,048 ",,"108,526",,"23,917",592,"7,160",263,"2,516,746","131,059","19,203,100 "
30,Bolivia,"137,107",+239,"8,129 ",+28,"98,007",+460,"30,971",71,"11,704",694,"308,129","26,303","11,714,567 "
31,Morocco,"134,695",,"2,369 ",,"113,336",,"18,990",457,"3,638",64,"2,731,907","73,785","37,025,060 "
32,Belgium,"132,203","+1,968","10,078 ",+14,"19,712",+33,"102,413",195,"11,394",869,"3,426,621","295,322","11,602,989 "
33,Qatar,"126,692",,216 ,,"123,664",,"2,812",59,"45,121",77,"800,519","285,105","2,807,805 "
34,Panama,"115,919",,"2,430 ",,"92,423",,"21,066",119,"26,756",561,"508,442","117,357","4,332,425 "
35,Dominican Republic,"115,054",,"2,144 ",,"90,942",,"21,968",169,"10,578",197,"496,200","45,621","10,876,468 "
36,Kazakhstan,"108,296",+60,"1,725 ",,"103,367",+90,"3,204",221,"5,750",92,"2,973,489","157,866","18,835,477 "
37,Kuwait,"107,592",,628 ,,"99,549",,"7,415",129,"25,097",146,"761,025","177,519","4,287,017 "
38,Egypt,"103,781",,"5,990 ",,"97,398",,393,41,"1,009",58,"135,000","1,313","102,833,416 "
39,Poland,"102,080",,"2,659 ",,"73,552",,"25,869",219,"2,698",70,"3,465,605","91,597","37,835,532 "
40,Oman,"101,814",,985 ,,"90,600",,"10,229",207,"19,809",192,"376,700","73,291","5,139,805 "
41,UAE,"99,733",,429 ,,"89,410",,"9,894",,"10,052",43,"10,220,534","1,030,123","9,921,664 "
42,Sweden,"94,283",,"5,895 ",,N/A,N/A,N/A,20,"9,320",583,"1,661,484","164,245","10,115,901 "
43,Guatemala,"94,182",,"3,302 ",,"82,828",,"8,052",5,"5,232",183,"338,692","18,815","18,001,305 "
44,Nepal,"89,263",,554 ,,"65,202",,"23,507",,"3,049",19,"1,088,229","37,176","29,272,508 "
45,Japan,"85,739",,"1,599 ",,"78,609",,"5,531",131,678,13,"2,173,035","17,195","126,372,667 "
46,Czechia,"85,566",,758 ,,"46,636",,"38,172",245,"7,986",71,"1,457,315","136,016","10,714,267 "
47,Costa Rica,"81,129",,987 ,,"49,703",,"30,439",212,"15,888",193,"243,276","47,642","5,106,348 "
48,Belarus,"80,696",,862 ,,"75,303",,"4,531",,"8,541",91,"1,949,656","206,346","9,448,493 "
49,Honduras,"80,020",+391,"2,433 ",+11,"29,768",+463,"47,819",29,"8,046",245,"188,174","18,920","9,945,548 "
50,Portugal,"79,885",,"2,018 ",,"50,454",,"27,413",106,"7,841",198,"2,647,756","259,871","10,188,741 "
51,Ethiopia,"79,437",,"1,230 ",,"34,016",,"44,191",292,687,11,"1,307,632","11,303","115,691,975 "
