S.N.,Date,NEPSE Index,Absolute Change,Percentage Change
1,2020-05-12,1226.16,-25.2967,-2.0214%
2,2020-05-13,1201.58,-24.5815,-2.0048%
3,2020-06-29,1188.71,-12.8695,-1.0711%
4,2020-06-30,1260.76,72.0494,6.0612%
5,2020-07-01,1336.53,75.7677,6.0097%
6,2020-07-02,1256.11,-80.4136,-6.0166%
7,2020-07-05,1265.46,9.3477,0.7442%
8,2020-07-06,1298.73,33.2734,2.6294%
9,2020-07-07,1336.67,37.933,2.9208%
10,2020-07-08,1326.54,-10.1293,-0.7578%
11,2020-07-09,1331.11,4.5688,0.3444%
12,2020-07-12,1340.29,9.0241,0.6779%
13,2020-07-13,1342.41,2.1153,0.1578%
14,2020-07-14,1347.45,5.0375,0.3753%
15,2020-07-15,1362.35,14.9019,1.1059%
16,2020-07-16,1394.77,32.4222,2.3799%
17,2020-07-19,1479.03,84.2631,6.0414%
18,2020-07-20,1464.94,-14.0942,-0.9529%
19,2020-07-21,1449.95,-14.9912,-1.0233%
20,2020-07-22,1432.45,-17.5011,-1.207%
21,2020-07-23,1442.62,10.1283,0.707%
22,2020-07-26,1465.11,22.4001,1.5526%
23,2020-07-27,1462.48,-2.6245,-0.1791%
24,2020-07-28,1454.89,-7.5942,-0.5193%
25,2020-07-29,1431.53,-23.3616,-1.6057%
26,2020-07-30,1439.06,7.5332,0.5262%
27,2020-08-02,1396.28,-42.7822,-2.9729%
28,2020-08-03,1403.87,7.5872,0.5434%
29,2020-08-05,1382.67,-21.2017,-1.5102%
30,2020-08-06,1381.38,-1.2877,-0.0931%
31,2020-08-09,1392.68,11.304,0.8183%
32,2020-08-10,1430.42,37.7378,2.7097%
33,2020-08-11,1423.81,-6.6093,-0.4621%
34,2020-08-12,1425.32,1.5097,0.106%
35,2020-08-13,1408.79,-16.5282,-1.1596%
36,2020-08-16,1391.46,-17.3272,-1.2299%
37,2020-08-17,1402.22,10.7533,0.7728%
38,2020-08-18,1407.9,5.6814,0.4052%
39,2020-08-19,1391.3,-16.6041,-1.1794%
40,2020-08-20,1397.57,6.2755,0.4511%
41,2020-08-23,1410.34,12.774,0.914%
42,2020-08-24,1431.61,21.2621,1.5076%
43,2020-08-25,1440.94,9.3354,0.6521%
44,2020-08-26,1462.04,21.0972,1.4641%
45,2020-08-27,1458.04,-3.9994,-0.2735%
46,2020-08-30,1462.68,4.6395,0.3182%
47,2020-08-31,1484.99,22.3134,1.5255%
48,2020-09-02,1510.57,25.58,1.7226%
49,2020-09-03,1510.42,-0.1481,-0.0098%
50,2020-09-06,1499.98,-10.4461,-0.6916%
51,2020-09-07,1487.81,-12.1678,-0.8112%
52,2020-09-08,1495.16,7.3458,0.4937%
53,2020-09-09,1508.21,13.0515,0.8729%
54,2020-09-10,1520.69,12.4864,0.8279%
55,2020-09-13,1537.25,16.5554,1.0887%
56,2020-09-14,1540.51,3.262,0.2122%
57,2020-09-15,1536.04,-4.4735,-0.2904%
58,2020-09-16,1541.4,5.3631,0.3492%
59,2020-09-17,1572.19,30.7838,1.9971%
60,2020-09-20,1575.18,2.9983,0.1907%
61,2020-09-21,1569.06,-6.119,-0.3885%
62,2020-09-22,1546.16,-22.9063,-1.4599%
63,2020-09-23,1555.53,9.369,0.606%
64,2020-09-24,1561.27,5.7427,0.3692%
65,2020-09-27,1565.56,4.2857,0.2745%
66,2020-09-28,1560.83,-4.7251,-0.3018%
67,2020-09-29,1553.62,-7.2068,-0.4617%
68,2020-09-30,1550.43,-3.1892,-0.2053%
69,2020-10-01,1571.04,20.6086,1.3292%
S.N.,Date,NEPSE Index,Absolute Change,Percentage Change
1,2020-05-12,1226.16,-25.2967,-2.0214%
2,2020-05-13,1201.58,-24.5815,-2.0048%
3,2020-06-29,1188.71,-12.8695,-1.0711%
4,2020-06-30,1260.76,72.0494,6.0612%
5,2020-07-01,1336.53,75.7677,6.0097%
6,2020-07-02,1256.11,-80.4136,-6.0166%
7,2020-07-05,1265.46,9.3477,0.7442%
8,2020-07-06,1298.73,33.2734,2.6294%
9,2020-07-07,1336.67,37.933,2.9208%
10,2020-07-08,1326.54,-10.1293,-0.7578%
11,2020-07-09,1331.11,4.5688,0.3444%
12,2020-07-12,1340.29,9.0241,0.6779%
13,2020-07-13,1342.41,2.1153,0.1578%
14,2020-07-14,1347.45,5.0375,0.3753%
